source,target,weight,resources,references,sign_decision
NFE2L2,GCLC,1.0,DoRothEA-A;ExTRI;GEREDB;GOA;NTNU.Curated;SIGNOR;TFactS;TRRUST,10741850;11118612;11909699;14500406;14978030;14985508;15629866;15988009;16054171;16426233;17109620;17173895;18458092;18721845;18845239;18926903;19133322;19282378;19540342;22212472;22459801;23633659;24024136;9601066,PMID
USF1,S100A6,1.0,DoRothEA-A;ExTRI;HTRI;SIGNOR;TRRUST,11118618;15878395;17495951,PMID
USF2,COX5B,1.0,ExTRI,11118624,default activation
USF2,CREBBP,1.0,ExTRI,11118624,default activation
STAT5A,IL18,1.0,ExTRI;GEREDB,11119255,PMID
IRF7,TAP2,1.0,ExTRI;NTNU.Curated,11119603;16014964,PMID
THRA,PKD1,1.0,ExTRI,11120670;15291740,default activation
HIF1A,SLC2A1,1.0,DoRothEA-A;ExTRI;TRRUST,11120745;15525582;15620252;16025159;17322369;17426252;17431122;17486380;18097583;18268343;19828020;23661628,PMID
STAT3,BCL6,1.0,ExTRI;GEREDB;NTNU.Curated;TRRUST,20228272;23716595,PMID
BCL6,STAT3,-1.0,ExTRI;NTNU.Curated;TRRUST,11120780;17951530,PMID
GBX2,FGF8,1.0,ExTRI;GEREDB,11124114;15790971;19603509;23933069,default activation
GBX2,GBX2,1.0,ExTRI,11124114,default activation
GBX2,WNT1,1.0,ExTRI;GEREDB,11124114;15790971,default activation
OTX2,FGF8,1.0,ExTRI;GEREDB,11124114;15790971;17060451;19603509;23145006,default activation
OTX2,WNT1,1.0,ExTRI;GEREDB,11124114;15790971,default activation
EN2,FGF8,-1.0,ExTRI;SIGNOR,10026229;11124114,PMID
PAX5,FGF8,1.0,ExTRI,11124114,default activation
PAX6,FGF8,1.0,ExTRI;GEREDB,11124114;15855760;17381541,default activation
SPI1,GSTM1,1.0,ExTRI,11124259;8887557,default activation
HMGA1,SPI1,1.0,ExTRI,11124259,default activation
TP53,HRAS,1.0,ExTRI;NTNU.Curated;TFactS;TRRUST,11127813;21552926;21552928;9662334,default activation
