,sr,dne,shannon,mad800,cytotrace,netith
TCGA-BT-A20Q-11,2.064944006533387,271.467725883836,3.112576082605862,2.6999999999999993,12.378200000000001,3.161531934754593
TCGA-BT-A20R-01,3.525361276030179e-14,371.40766968061325,4.025470282064441,1.9350000000000014,12.966600000000001,3.3158266305154003
TCGA-BT-A20R-11,1.8984353016728938e-14,336.66703376631614,3.590379011781791,2.6000000000000014,12.97835,3.5286603057542263
TCGA-BT-A20T-01,0.6913485312355241,374.17605696220863,3.923869206100616,1.9450000000000003,12.6847,2.905414362764936
TCGA-BT-A20U-01,3.712658663886092e-14,370.9515686453085,4.328717875517622,2.205,12.600349999999999,3.24494666464664
TCGA-BT-A20U-11,3.9582014350814835e-14,368.6860784399898,2.307919559235792,2.130000000000001,12.707800000000002,3.3825024333781992
TCGA-BT-A20V-01,1.4959859203274535,316.90652425133374,4.100924122087581,2.045,12.26245,2.858341562063277
TCGA-BT-A20W-01,1.631873127838884e-14,388.90278471823353,4.463706709646991,1.8599999999999985,12.036700000000002,2.6543466935274185
TCGA-BT-A20W-11,1.5844447178447054,408.408958181436,4.550439501368894,1.67,12.7622,3.0836719524413674
TCGA-BT-A20X-01,0.6905003232522285,374.9548838210265,2.6519487306194094,2.0849999999999995,12.773700000000002,3.104684848042649
TCGA-BT-A2LA-01,1.702545076401592,308.5974469441001,4.421445315912674,1.8000000000000007,11.31385,3.4362990428121933
TCGA-BT-A2LA-11,0.6923870749092679,373.6783820788662,4.042242905902656,1.959999999999999,12.974749999999998,3.264330399992712
TCGA-BT-A2LB-01,1.4622698198914403,387.293055584351,4.368882471817233,2.0150000000000006,12.7058,3.146050381214329
TCGA-BT-A2LB-11,1.700451798030992e-14,411.600198336634,2.4070486308728594,2.0,13.074950000000001,3.098408247008572
TCGA-BT-A2LD-01,1.7152430025443783e-14,350.7641909373699,2.7124870866080872,2.41,12.469350000000002,3.224545025983886
TCGA-BT-A3PH-01,3.4581477694964194e-14,302.12870848256443,3.5707009187328267,2.5699999999999994,12.40425,3.488523687596854
TCGA-BT-A3PJ-01,3.6647046087789e-14,336.8018138437657,4.420717729266177,2.4250000000000003,12.70315,3.053338253287155
TCGA-BT-A3PK-01,2.1626466160922996e-14,383.1395928301298,4.02647699542587,1.9650000000000003,12.9621,2.831299038472544
TCGA-BT-A42C-01,0.6926038078284271,293.02472488009244,4.416205226524845,2.1400000000000006,12.198899999999998,2.7774845148400087
TCGA-BT-A42E-01,1.4960599176815994,392.98670666777946,3.546657436501782,2.215,12.87,3.157310717682341
TCGA-BT-A42F-01,3.315050506877309e-14,379.50135670497156,3.0104703519659046,2.0600000000000005,12.530050000000001,3.0835840782509347
TCGA-C4-A0EZ-01,1.5654486413211426,376.89950965295964,4.246295791682714,2.21,11.48265,2.9894676528904256
TCGA-C4-A0F0-01,0.6918668817247924,297.769648477866,3.2811430465271965,2.4300000000000006,12.481499999999999,3.106402088510006
TCGA-C4-A0F1-01,0.6912542781332761,336.17375399155367,2.7263330107857024,2.125,12.884099999999998,3.2089553576210808
TCGA-C4-A0F6-01,1.8782331720189522e-14,340.22703168059223,3.4674983927089196,2.2649999999999997,12.2053,2.960017923139747
TCGA-C4-A0F7-01,1.515858430314495e-14,338.33349715023496,2.4400847916082724,1.9799999999999995,12.31,3.0216720933781964
TCGA-CF-A1HR-01,0.6923090372314135,365.36920494429404,4.253283441143051,2.1449999999999996,12.35135,3.201979588257412
TCGA-CF-A1HS-01,1.4941816915446868,354.7059446913326,2.6953259817466115,2.0149999999999997,12.6051,3.164203889794534
TCGA-CF-A27C-01,0.6913528646180916,158.2331530880005,4.166402653809264,2.860000000000001,12.1396,3.093017844788715
TCGA-CF-A3MF-01,2.6118750986387376,297.0892689466109,1.7912050153093162,2.48,11.932150000000002,2.7132737114690326
TCGA-CF-A3MG-01,0.6921451167055666,185.57075974299764,4.036147611825493,2.8999999999999986,12.253350000000001,3.4190213863710457
TCGA-CF-A3MH-01,0.6916910724685051,288.90848432628025,4.054226366574081,2.4849999999999994,12.58575,3.275228583069756
TCGA-CF-A3MI-01,1.432671490078661,312.6130469188704,1.0422235032279479,2.1600000000000006,12.349450000000001,2.986244695957402
TCGA-CF-A47S-01,2.3604213015130826,264.73755901303406,3.948677395728698,2.4549999999999996,12.4417,2.899556882076939
TCGA-CF-A47T-01,1.5163900963932106e-14,271.58460089473203,2.104436248772693,2.415,12.302950000000001,2.4292759556669523
TCGA-CF-A47V-01,1.22596012018129,307.4273074436797,3.5282815687809728,2.2399999999999998,12.4526,3.385682655652125
TCGA-CF-A47W-01,0.6683234158913908,219.1720985117038,2.6409965698329922,2.525,12.1425,3.2322289386005667
TCGA-CF-A47X-01,1.4059998166477598e-14,311.4039783214107,3.994126871540175,2.5,12.037,3.265122050211261
TCGA-CF-A47Y-01,0.6902577533391567,260.16246480952566,3.0437531040166776,2.595,12.200050000000001,3.148880145612321
TCGA-CF-A5U8-01,1.2129562355629702e-14,240.90211624447213,3.077465563495817,2.615,12.1383,2.876541161396573
TCGA-CF-A5UA-01,1.0768005542702415e-14,333.5689812051211,3.1508354542347927,2.315,12.3033,2.847769075494517
TCGA-CF-A7I0-01,0.6921557455301417,324.19690114581664,2.7495295013904135,2.035000000000001,12.22135,2.4879312165988585
TCGA-CF-A8HX-01,1.5517200648938115e-14,322.42185453182606,4.026030987403271,2.425,11.939449999999999,3.355890340890695
TCGA-CF-A8HY-01,3.182584890443213e-14,240.3485963270425,3.349063645556968,2.3449999999999998,12.462200000000001,2.576438608681628
TCGA-CF-A9FF-01,1.1886718982615518,396.6999110544689,3.115340565733508,2.0699999999999994,12.429200000000002,2.9250102469767443
TCGA-CF-A9FH-01,1.3721801728546152,237.23801441740915,3.633150523557914,2.8400000000000003,12.46565,2.782244187012407
