,sr,dne,shannon,mad800,cytotrace,activity,netith
SW1573,1.5487675038077833,34.5735807154569,4.686512456686093,1.578201945589795,9.434727931348924,0.2626346514229525,5.449382376496442
SKN-3,1.984587225185349e-14,156.33457157550617,5.073266895876548,2.3757253034938097,9.811472301518826,0.22603496372105833,5.589372119799611
SKM-1,2.7547195302946035,283.47515310725714,4.512198596234346,1.37265514191986,8.78061725951438,0.21793071722101112,5.606383118676086
SK-MEL-30,3.1254106889591093,212.76882200900172,4.451575308140648,1.8052485500671598,9.411135938007567,0.18215861048937704,5.707939084754788
HUTU-80,2.9902633955428,185.90569770332,4.156969060806647,0.8866211502704999,8.694450814182556,0.19479859894857102,5.811212783658041
HOP-62,1.5467306513758683,200.4206104220428,4.985890626551986,2.1929945074062354,9.786828349065045,0.19690706368631558,6.2429130611774095
IHH-4,3.031094692601552,242.79516962758325,4.522291082848616,1.8376963779497102,9.171122664041558,0.16860914133523236,5.570137056491479
IST-SL1,2.7886819287976827,280.57981045388266,4.632825992178335,1.2977141663360645,9.024169378033326,0.2855219047357863,5.483463195283018
JAR,2.912485673379466,14.527671388400819,4.355161172692828,0.90189599516088,8.835200027308346,0.2932807688410192,5.480895750702375
JHU-011,1.5191541576018786,66.29306850514948,4.877146259840888,2.511263320716505,10.088633825943072,0.22325374543477752,5.622673380786064
IGROV-1,3.013953258837283,128.305565596655,4.636277383664483,1.7402206355200553,9.305308328902496,0.1491145920553091,5.705213891463718
SBC-3,2.5814233637449298,221.57723613177697,3.868587920945338,1.0556769943257047,8.345839240519036,0.19359938631456977,5.618902629824
SUP-B8,1.4959009984780793,322.41741414679996,4.242939112148227,0.6340937261873452,8.300473357957785,0.2931916238143682,5.443315310891233
SK-MEL-3,1.6328277543509053,288.07294848843355,4.515299389867655,1.5875582364485143,9.115062786631306,0.2013478093698192,5.850589106288448
IM-9,1.4424254272763408,188.11180320926258,4.557989948232413,0.9675995595394802,9.038349743371286,0.3136369272567407,5.698721235356737
KYSE-50,3.082703435544753,250.22015616687293,4.650410768916371,2.1175658269862403,9.208004075823657,0.16448572511498957,5.4106906110744415
HeLaSF,3.1520202438316227,162.8549842022387,4.8245436073239105,2.3774510937840305,9.614451401816554,0.17036287003471842,5.453757137462379
HDQ-P1,1.5212834311808852,131.6062738605285,4.913430151390273,2.247668654311185,9.736442875403528,0.1672054537449111,5.836685610928892
IST-SL2,1.5441949022526598,270.6056925276424,4.457503191460983,1.1792099186928204,8.823908422352195,0.2870325046193634,5.626756627872011
IMR-5,2.014792771128439,209.88116990294978,4.247016023352362,1.1631535506206447,8.696465559856101,0.2585612107126656,5.6821645738229005
