cell_line,phospho_netith,original_netith
HSC-2,4.9501835322328605,5.8436970635243695
HSC-3,4.510810445797408,5.513887487682225
HSC-39,4.815570036447127,5.786643404878983
HSC-4,4.6445171729003745,5.800030850189453
HT-1080,4.8514135353503045,5.837479053797591
HT-115,4.874394611494395,6.319233760939836
HT-1197,4.716235124019785,5.600269319015627
HT-1376,5.087794273005597,6.040288860726367
HT-144,4.773394874611966,5.811767278487668
HT-29,4.7707791255307495,5.620211239424813
HT-3,4.733351055466778,5.716599256853453
HT55,4.479770659810811,5.512523101130937
HTC-C3,4.849736402368331,5.856997688693904
HeLa,4.906022871954867,5.550705077877527
Hep3B2-1-7,5.0459554306430014,5.550690751005031
Hey,4.675978358071656,5.534260967520019
Hs-445,4.437281557449673,5.405371059800804
Hs-578-T,4.925271938269489,6.011883247079363
Hs-633T,4.781743338387033,5.99680790026941
Hs-683,4.901057747013329,5.880970583738584
Hs-766T,4.836794220704243,5.826118464421661
Hs-940-T,3.823082968633524,5.565096056291085
HuCCT1,4.551496863130642,5.698407808750481
HuH-7,4.729555644134887,5.4944652468334665
HuO-3N1,4.951545623871547,5.796323420505229
HuO9,4.882630527233301,5.5681508523656
HuP-T3,4.787481545589458,5.864598149230227
HuP-T4,4.572831025060249,5.774877045033807
IA-LM,4.574363367418181,5.625844474445909
IGR-1,4.673439379470423,6.028660930549764
IGR-37,4.626313740208419,5.627095022705625
IGROV-1,4.558815087553785,5.705213891463718
IHH-4,4.912164240101738,5.570137056491479
IM-9,4.444958136637302,5.6987212353567385
IM-95,4.615096467325718,5.446647920836586
IMR-5,4.60277191987279,5.6821645738229005
IPC-298,4.7909979474341835,5.511197626087449
IST-MEL1,4.840135289904442,6.041621388639648
IST-MES1,4.629318208470384,5.809483050302659
IST-SL1,3.9976221149070366,5.483463195283019
IST-SL2,4.7331834613315245,5.62675662787201
J82,4.852144795324573,5.803497420030151
JAR,4.542897881469636,5.480895750702375
JEG-3,4.494649809369472,5.595727804760275
JEKO-1,4.613213294150288,5.576361765826855
JHH-1,4.879108551263218,5.7127852935084
JHH-2,4.576693322538642,5.550081826383927
JHH-4,4.700465467865119,5.765960374247052
JHH-6,4.680301784030154,5.715179454151964
JHH-7,5.074859956756923,5.640935891364459
JHOS-2,4.671407194443513,5.503328381011341
JHOS-3,4.874258653772928,6.30783215205302
JHOS-4,4.888080907155633,5.6789677601071125
JHU-011,4.711434958671612,5.622673380786064
JHU-022,4.817745579646791,5.730177858206844
JHU-029,4.833698457248645,5.866125255329987
JIMT-1,4.73342911354089,5.64473678253156
JJN-3,4.42232518094616,5.365628778104441
JM1,4.432764211472202,5.276852984658207
JSC-1,4.6542647132224495,5.419593894977042
JURL-MK1,4.303227670878356,5.668036959311293
JVM-2,4.591798445815014,5.611955723021254
JVM-3,4.556549063824619,5.567887541421162
JiyoyeP-2003,4.411596421961438,5.58286169129701
K-562,4.113696736766125,5.918348450440809
K2,4.950731969288393,5.981697634853196
K5,5.028368941902784,5.815902815513008
KALS-1,4.8483863122229875,5.770404283069728
KARPAS-1106P,4.317311442872114,5.41114374265042
KARPAS-231,4.427958408421879,5.44746738880806
KARPAS-299,4.260277814749297,5.521006912503765
KARPAS-422,4.673791736358116,5.484456717971559
KARPAS-45,4.817157620020121,5.582061174405044
KARPAS-620,4.54152786173922,5.401797539317342
KASUMI-1,4.352155461285536,5.5309055728929435
KATOIII,4.829455996949777,5.682359272549293
KCL-22,4.245064763687013,5.229528019829502
KE-37,4.695653272848408,5.663063280529946
KELLY,4.4844020591732505,5.593455985861652
KG-1,4.2603034141982645,5.269449323352806
KGN,4.866259092457394,5.8487758830165655
KINGS-1,4.8479876481343,5.651573016066571
KLE,4.7986109289499845,5.80611316280883
KM-H2,4.574860274567801,5.692088360726381
KM12,4.884140420512379,5.851618750912103
KMOE-2,4.546340689388597,5.339638706083636
KMRC-1,4.724624213361621,5.681031996541626
KMRC-20,4.808574493099299,5.516283464051596
KMS-11,4.875247909883757,5.5737327142153426
KMS-12-BM,4.509818588824384,5.649552936432283
KNS-42,4.3827425374024545,5.7222045902399525
KNS-62,4.7936712289728645,5.80273468524451
KNS-81-FD,4.6531259519104395,5.799495647735954
KON,4.520308897568217,5.61244076220445
KOPN-8,4.703568225079012,5.4099231889584365
KOSC-2,4.543046721029359,5.698500205529875
KP-1N,4.855035873416991,5.854720279809786
KP-2,4.935878390562204,5.874195445250174
KP-3,4.604977332985441,5.710525462928976
KP-4,4.72939377947794,5.938126901857654
KP-N-YN,4.334911665435984,5.7007500016618815
KS-1,4.925728820273924,5.650778450602262
KU-19-19,4.70931838864758,6.042565573019866
