k,combo,tfs,n_tfs,delta_netith_pred,abs_delta
4,HEYL+ZBTB20+NFIA+ZNF202,"HEYL,NFIA,ZBTB20,ZNF202",4,-0.20498892757057627,0.20498892757057627
4,FOXP3+ZBTB20+SFPQ+NFIA,"FOXP3,NFIA,SFPQ,ZBTB20",4,-0.20486425333108543,0.20486425333108543
3,STAT1+DNMT3B+NPM1,"DNMT3B,NPM1,STAT1",3,-0.20469948316993825,0.20469948316993825
3,STAT1+HEYL+ZNF165,"HEYL,STAT1,ZNF165",3,-0.20464496204544724,0.20464496204544724
4,STAT1+SMAD7+RARG+NPM1,"NPM1,RARG,SMAD7,STAT1",4,-0.20461223405647377,0.20461223405647377
4,ATF4+HEYL+NPM1+AEBP1,"AEBP1,ATF4,HEYL,NPM1",4,-0.20457234552180814,0.20457234552180814
4,ATF4+RARG+HES1+AEBP1,"AEBP1,ATF4,HES1,RARG",4,-0.20447451530138733,0.20447451530138733
4,STAT1+FOXP3+HES1+SRF,"FOXP3,HES1,SRF,STAT1",4,-0.20446506963520036,0.20446506963520036
3,ZBTB20+NFIA+ZNF165,"NFIA,ZBTB20,ZNF165",3,-0.2044503122566454,0.2044503122566454
4,ATF4+PAX3+HES1+HOXC13,"ATF4,HES1,HOXC13,PAX3",4,-0.20437554915774422,0.20437554915774422
4,STAT1+SMAD7+HEYL+SRF,"HEYL,SMAD7,SRF,STAT1",4,-0.20432095900602537,0.20432095900602537
4,ZBTB20+DNMT3B+ZNF202+NPM1,"DNMT3B,NPM1,ZBTB20,ZNF202",4,-0.20421919745731926,0.20421919745731926
4,STAT1+FOXP3+PAX3+NPM1,"FOXP3,NPM1,PAX3,STAT1",4,-0.2041838601977053,0.2041838601977053
4,HEYL+ZBTB20+ZNF202+ZNF165,"HEYL,ZBTB20,ZNF165,ZNF202",4,-0.20416467633282825,0.20416467633282825
4,SMAD7+ZBTB20+NFIA+SRF,"NFIA,SMAD7,SRF,ZBTB20",4,-0.20412630921722347,0.20412630921722347
4,SMAD7+DNMT3B+NFIA+AEBP1,"AEBP1,DNMT3B,NFIA,SMAD7",4,-0.20410526010405416,0.20410526010405416
4,HES1+ZNF202+HOXC13+AEBP1,"AEBP1,HES1,HOXC13,ZNF202",4,-0.20404847969950662,0.20404847969950662
4,FOXP3+ZBTB20+SFPQ+ZNF165,"FOXP3,SFPQ,ZBTB20,ZNF165",4,-0.2040400020933374,0.2040400020933374
3,STAT1+PAX3+DNMT3B,"DNMT3B,PAX3,STAT1",3,-0.20402916846157393,0.20402916846157393
4,STAT1+PAX3+SMAD7+RARG,"PAX3,RARG,SMAD7,STAT1",4,-0.20394191934810946,0.20394191934810946
4,STAT1+RARG+NFIA+SRF,"NFIA,RARG,SRF,STAT1",4,-0.20393189627134373,0.20393189627134373
4,ATF4+PAX3+HEYL+AEBP1,"AEBP1,ATF4,HEYL,PAX3",4,-0.20390203081344382,0.20390203081344382
4,FOXP3+ZBTB20+NPM1+HOXC13,"FOXP3,HOXC13,NPM1,ZBTB20",4,-0.2038003498435051,0.2038003498435051
4,SMAD7+SFPQ+HOXC13+AEBP1,"AEBP1,HOXC13,SFPQ,SMAD7",4,-0.20377969483084074,0.20377969483084074
3,STAT1+NFIA+ZNF202,"NFIA,STAT1,ZNF202",3,-0.20374476223406054,0.20374476223406054
3,ZBTB20+DNMT3B+HOXC13,"DNMT3B,HOXC13,ZBTB20",3,-0.20364565810737376,0.20364565810737376
4,SMAD7+ZBTB20+RARG+HOXC13,"HOXC13,RARG,SMAD7,ZBTB20",4,-0.20355840899390928,0.20355840899390928
4,PAX3+ZBTB20+DNMT3B+ZNF202,"DNMT3B,PAX3,ZBTB20,ZNF202",4,-0.20354888274895497,0.20354888274895497
3,STAT1+HEYL+HES1,"HES1,HEYL,STAT1",3,-0.2035140782882109,0.2035140782882109
4,STAT1+FOXP3+SFPQ+ZNF202,"FOXP3,SFPQ,STAT1,ZNF202",4,-0.20333445207075257,0.20333445207075257
4,ATF4+SMAD7+NFIA+ZNF165,"ATF4,NFIA,SMAD7,ZNF165",4,-0.20332367209703034,0.20332367209703034
3,ZBTB20+HES1+NFIA,"HES1,NFIA,ZBTB20",3,-0.20331942849940904,0.20331942849940904
4,SMAD7+ZBTB20+SRF+ZNF165,"SMAD7,SRF,ZBTB20,ZNF165",4,-0.20330205797947548,0.20330205797947548
4,SMAD7+DNMT3B+AEBP1+ZNF165,"AEBP1,DNMT3B,SMAD7,ZNF165",4,-0.20328100886630612,0.20328100886630612
4,FOXP3+ZBTB20+RARG+AEBP1,"AEBP1,FOXP3,RARG,ZBTB20",4,-0.20322900127878385,0.20322900127878385
4,FOXP3+PAX3+ZBTB20+HOXC13,"FOXP3,HOXC13,PAX3,ZBTB20",4,-0.20313003513514077,0.20313003513514077
4,STAT1+RARG+SRF+ZNF165,"RARG,SRF,STAT1,ZNF165",4,-0.20310764503359569,0.20310764503359569
4,HEYL+ZBTB20+HES1+ZNF202,"HES1,HEYL,ZBTB20,ZNF202",4,-0.2030337925755919,0.2030337925755919
3,STAT1+ZNF202+ZNF165,"STAT1,ZNF165,ZNF202",3,-0.20292051099631253,0.20292051099631253
4,FOXP3+ZBTB20+SFPQ+HES1,"FOXP3,HES1,SFPQ,ZBTB20",4,-0.20290911833610104,0.20290911833610104
4,ATF4+ZNF202+NPM1+AEBP1,"AEBP1,ATF4,NPM1,ZNF202",4,-0.20284789447267337,0.20284789447267337
4,SMAD7+HEYL+ZBTB20+SFPQ,"HEYL,SFPQ,SMAD7,ZBTB20",4,-0.20276500770692604,0.20276500770692604
4,STAT1+SMAD7+ZNF202+SRF,"SMAD7,SRF,STAT1,ZNF202",4,-0.20259650795689063,0.20259650795689063
4,STAT1+HEYL+RARG+SFPQ,"HEYL,RARG,SFPQ,STAT1",4,-0.20257059476104627,0.20257059476104627
4,ATF4+SMAD7+DNMT3B+HOXC13,"ATF4,DNMT3B,HOXC13,SMAD7",4,-0.20251901794775873,0.20251901794775873
3,ZBTB20+HES1+ZNF165,"HES1,ZBTB20,ZNF165",3,-0.202495177261661,0.202495177261661
4,ZBTB20+RARG+SFPQ+NFIA,"NFIA,RARG,SFPQ,ZBTB20",4,-0.20237594497224443,0.20237594497224443
4,HES1+NFIA+HOXC13+ZNF165,"HES1,HOXC13,NFIA,ZNF165",4,-0.20227788981461836,0.20227788981461836
3,ATF4+HOXC13+AEBP1,"AEBP1,ATF4,HOXC13",3,-0.2022743551227279,0.2022743551227279
4,ATF4+FOXP3+ZBTB20+SRF,"ATF4,FOXP3,SRF,ZBTB20",4,-0.20221065934580262,0.20221065934580262
4,ATF4+SMAD7+HES1+NFIA,"ATF4,HES1,NFIA,SMAD7",4,-0.20219278833979398,0.20219278833979398
4,ATF4+FOXP3+DNMT3B+AEBP1,"AEBP1,ATF4,DNMT3B,FOXP3",4,-0.20218961023263332,0.20218961023263332
4,ATF4+PAX3+ZNF202+AEBP1,"AEBP1,ATF4,PAX3,ZNF202",4,-0.20217757976430906,0.20217757976430906
4,SMAD7+ZBTB20+HES1+SRF,"HES1,SMAD7,SRF,ZBTB20",4,-0.2021711742222391,0.2021711742222391
