drug,n,rho_original,p_original,rho_phospho,p_phospho,rho_kinase_only,p_kinase_only,rho_combined,p_combined,delta_phospho,delta_combined
BMS-536924,900,0.1551550063642054,2.9177177798173265e-06,0.05011370795931024,0.1330284765984573,,,-0.10845419150723232,0.0011191589655259206,-0.10504129840489515,-0.2636091978714377
LMB_AB3,691,0.24190526168594656,1.1685872287839384e-10,0.13730267821859518,0.0002947376850910585,,,-0.0911209873100146,0.01657799271567743,-0.10460258346735138,-0.33302624899596117
LY2109761,838,0.23005808557854018,1.5789995468857838e-11,0.12608375500722935,0.00025313713707026016,,,-0.09766885152732406,0.004656425454915692,-0.10397433057131084,-0.32772693710586426
SB590885,886,0.2482017246820899,6.626332961061959e-14,0.14495324027383416,1.4813281868197706e-05,,,-0.1010946698816517,0.002589928810309081,-0.10324848440825574,-0.3492963945637416
Uprosertib,909,0.12688073038315115,0.0001252302451426839,0.0249073384852161,0.4532366312899806,,,-0.10582139106586266,0.0013980165017326717,-0.10197339189793504,-0.2327021214490138
Ipatasertib,900,0.12782093146617055,0.00012051259914461214,0.026310682688085625,0.43048617435882863,,,-0.09759131389874144,0.0033823338169541783,-0.10151024877808493,-0.225412245364912
Buparlisib,900,0.24135190290358385,2.1478044072143434e-13,0.1400958437397248,2.4664094107915237e-05,,,-0.10131331026334602,0.002342260231844969,-0.10125605916385905,-0.3426652131669299
123138,691,0.2194120071038655,5.596756777526674e-09,0.11828787094620127,0.0018411281745714903,,,-0.06884351965037867,0.0705207908785381,-0.10112413615766422,-0.28825552675424415
Dactinomycin,903,0.24727311775861366,4.786625357876649e-14,0.14640138898241792,1.0004229913739263e-05,,,-0.09555737231812306,0.004051848126827884,-0.10087172877619574,-0.3428304900767367
LMB_AB2,691,0.2934149581976869,3.46422024207401e-15,0.19257345637680312,3.382062250487686e-07,,,-0.10201048267514437,0.0072815417597106216,-0.1008415018208838,-0.39542544087283127
BMS-754807,892,0.21551168352146569,7.815805936722801e-11,0.11476911470885531,0.0005941212217436624,,,-0.10564721868384136,0.001579204543389143,-0.10074256881261037,-0.3211589022053071
CDK9_5038,690,0.23109145092859298,8.117957011324765e-10,0.13047810571367283,0.0005906678232804013,,,-0.08778150543588989,0.021104831138682598,-0.10061334521492016,-0.3188729563644829
PRT062607,840,0.21665944213963695,2.2162187316973578e-10,0.11654849284083453,0.0007133237652416862,,,-0.08928112345478298,0.009627430799573285,-0.10011094929880242,-0.30594056559441996
I-BET-762,839,0.26675226394417856,3.905973599299275e-15,0.1666741583417935,1.2063102829215325e-06,,,-0.08996620842217452,0.009125412234880403,-0.10007810560238506,-0.35671847236635307
BEN,691,0.2578858471519617,5.839771707537368e-12,0.15822740152806578,2.939263596674147e-05,,,-0.08581470956966913,0.02407818382821931,-0.09965844562389595,-0.34370055672163086
XAV939,839,0.17968241460963505,1.609851966427416e-07,0.081404038626667,0.018358458942833857,,,-0.08904403347384394,0.009866112737231267,-0.09827837598296806,-0.268726448083479
Nutlin-3a (-),910,0.24691748315010753,4.168782696963861e-14,0.1486537582721735,6.69382518726432e-06,,,-0.09627303281105545,0.0036496562361082764,-0.09826372487793403,-0.343190515961163
BI-2536,866,0.3069385548814222,2.3847133615605018e-20,0.20934583557692443,4.947472074853612e-10,,,-0.08348984079922393,0.01398407901598243,-0.09759271930449775,-0.39042839568064613
GSK3337463A,691,0.29587323317169123,1.989541586854195e-15,0.19908677576087777,1.3145467155707965e-07,,,-0.08765061435052114,0.021204353853379532,-0.09678645741081346,-0.38352384752221236
