drug,n,rho_netith_raw,p_netith_raw,rho_netith_ctrl_ev,p_netith_ctrl_ev,rho_netith_ctrl_mad,p_netith_ctrl_mad,rho_netith_ctrl_shannon,p_netith_ctrl_shannon,fdr_netith_raw,fdr_netith_ctrl_ev,fdr_netith_ctrl_mad,fdr_netith_ctrl_shannon
Nutlin-3a (-),910,0.24691748315010753,4.168782696963861e-14,0.2448405854324712,6.884749253612661e-14,0.13457485553865337,4.64968290461796e-05,0.17911581124457848,5.3319954464754195e-08,1.806472502017673e-13,2.3723352849797844e-13,9.171098694625769e-05,1.361563122939259e-07
OF-1,840,0.16473689122899224,1.584666195029952e-06,0.17001637716930681,7.183650491691803e-07,0.11603065521027423,0.0007536856277648682,0.14767307128917617,1.729851275184839e-05,2.1378043951819165e-06,9.600579629083436e-07,0.001112606187504072,2.590248506297717e-05
OSI-027,902,0.06912536075569777,0.03792465806797513,0.07294190640922671,0.028483070866804305,0.018404796121998225,0.5809228053350318,0.03711334907906688,0.265504542895663,0.039441644390694135,0.029730504627394273,0.5870809976177354,0.27078719040748106
OTX015,839,0.22737183266979225,2.6722346395166118e-11,0.23176684938598913,1.0758029152209958e-11,0.1338848506595654,0.00010033329143291142,0.1760659293144835,2.861035248369376e-07,6.114072855214008e-11,2.542806890522354e-11,0.0001827727474510361,5.803234617259869e-07
Obatoclax Mesylate,756,0.14869336141699166,4.052530775747131e-05,0.1577620612605347,1.3132830676435197e-05,0.07129238845931613,0.05005814339444577,0.10837151025066025,0.002848932558618712,4.8698479069902496e-05,1.6189610230433046e-05,0.05549081011942438,0.003298764015242719
Olaparib,909,0.24834544934863337,3.041526359709738e-14,0.25271956493223996,1.0355714098000513e-14,0.18123320537504692,3.750376764651644e-08,0.21296620536817687,8.781273942796317e-11,1.3591820919952893e-13,4.420498853773353e-14,3.474027675889387e-07,6.125474018633528e-10
Osimertinib,899,0.14593370675823092,1.1178231466982282e-05,0.1462237262717876,1.0732969077244798e-05,0.1231944757558716,0.0002132714171041523,0.12978026397391146,9.52652259377237e-05,1.3960586024266081e-05,1.3288437905160225e-05,0.0003587977958340445,0.0001291272730719857
Oxaliplatin,909,0.3228807278268613,1.683649000083455e-23,0.32248479047449696,1.9184437182581788e-23,0.2351784793621929,6.882422106229648e-13,0.27250123860234216,6.099751921354293e-17,1.6050787134128937e-21,1.8289163447394636e-21,9.841863611908397e-11,8.72264524753664e-15
P22077,900,0.22196498184977184,1.6520992525632352e-11,0.22791323610687586,4.543405680818039e-12,0.1503537987906981,5.894998007076795e-06,0.1833655597105676,3.018471116925532e-08,3.9049618696949196e-11,1.1299252388817036e-11,1.6692766633900627e-05,8.547353855848537e-08
PAK_5339,690,0.23519260745641413,3.9815754127366195e-10,0.24831172763940132,3.7240280431038905e-11,0.15001090839985146,7.630306312487514e-05,0.1912962567065655,4.1345372953441856e-07,7.442683451259301e-10,7.831411914174358e-11,0.00014357023719548874,8.211650461586368e-07
PBD-288,716,0.27375929743335836,8.960649317639671e-14,0.2857354982270249,6.415357985976945e-15,0.15546510010407538,2.9392447855609585e-05,0.19876636301684802,8.18817122693553e-08,3.559369034506869e-13,2.866863099983447e-14,6.003963675187817e-05,1.9515141424196348e-07
PCI-34051,840,0.23409818162602677,6.402475908763597e-12,0.23547498548852006,4.779613887871868e-12,0.14431533653372117,2.6877914414757757e-05,0.18292071194626325,9.358531233090142e-08,1.6799156971618245e-11,1.1745267571145518e-11,5.5703503787106655e-05,2.193885190708017e-07
PD0325901,910,0.06800703833667285,0.040260178947836074,0.07019239577303288,0.03424799755430509,0.06739661602015018,0.042091212198789384,0.07088052818019887,0.0325210310886172,0.041718881083627236,0.03548886703091035,0.04720818309354417,0.035098169401300075
PD173074,909,0.2282033228253842,3.3344833119505025e-12,0.23535297810170236,6.611685676163466e-13,0.14553544767266582,1.0564916855321673e-05,0.17934771789615425,5.208963619076809e-08,9.349629678606311e-12,1.8538648072379914e-12,2.560649339510168e-05,1.3421293649152858e-07
PF-4708671,233,0.3105421538157959,1.3328487949921144e-06,0.3098809212099134,1.4073636399205903e-06,0.24947632654455207,0.00011877505409771455,0.284083362742531,1.0622429599243573e-05,1.806610215013008e-06,1.8463578028316003e-06,0.00021231040919966474,1.6333413254750872e-05
PFI-1,889,0.24618104705084376,9.716442315941411e-14,0.2581921907499188,5.2643801129467975e-15,0.16559580143584388,6.877537668551729e-07,0.1977812464453179,2.7207562515365567e-09,3.806715756656498e-13,2.4284076004883617e-14,3.4508346898347273e-06,1.1789943756658411e-08
PFI3,840,0.28141259108522376,9.368440673918175e-17,0.2909818061371564,7.445183998932301e-18,0.19751959480020317,7.782384248844434e-09,0.23910912167230555,2.1899167594601542e-12,8.643142041098704e-16,7.604723656052278e-17,1.0598866167473849e-07,2.8468917872982005e-11
PLX-4720,903,0.10936057577567676,0.0009961710725006634,0.11321949224709506,0.0006532261640932164,0.049759880515230163,0.1351398722010969,0.07848370288574286,0.0183339130871063,0.0010832886948106072,0.0007130636753078621,0.14314816092412488,0.020167304395816932
POMHEX,716,0.23811300976295283,1.0938119736194264e-10,0.24097051122132349,6.438980867458261e-11,0.12123753388333458,0.0011523293622880046,0.1724315561953766,3.472384620101073e-06,2.2834322952931092e-10,1.2877961734916521e-10,0.0016561115458008507,5.982542176800644e-06
PRIMA-1MET,840,0.20113194604867635,4.080990146288094e-09,0.19975566858796565,5.226281411428878e-09,0.08132296105861826,0.018405442037412047,0.12742294135904386,0.00021334121477659883,6.86566577551997e-09,8.350371417143348e-09,0.021485536419183042,0.00027988801571608837
PRT062607,840,0.21665944213963695,2.2162187316973578e-10,0.21465593670868902,3.26873675990649e-10,0.12927508603126056,0.0001720010083077881,0.16563167302836718,1.3882141125838827e-06,4.4016566476766964e-10,5.84286695833285e-10,0.0002963390866025747,2.5614789432192934e-06
Paclitaxel,900,0.23976164579627057,3.1125768979387045e-13,0.24938620088831387,3.1634623498999204e-14,0.14883001090124806,7.336369785341025e-06,0.1904554779285736,8.485862327577811e-09,1.0856060887932555e-12,1.1599361949633043e-13,1.9074561441886665e-05,2.9240441273340408e-08
Palbociclib,910,0.2662678849156553,3.10507136240385e-16,0.2705828332438195,9.841970391574248e-17,0.15201190110929164,4.102663565956816e-06,0.2018047850067935,8.117007116336401e-10,2.5372868847071457e-15,7.407377715763777e-16,1.3037353109596104e-05,4.299007472726317e-09
