gene,d_expr,fdr_expr,dnetith_expr,is_tf,d_ceres,fdr_ceres,dnetith_ceres,concordant,both_sig
THRAP3,-0.6653175467408144,1.2052651063643873e-11,-0.1446474431206317,False,-0.15500134813404118,0.9450354974109463,-0.032819715660063586,True,False
DPCD,0.6647142397445314,1.8376577127747633e-12,0.1437295786865853,False,-0.677925763405348,0.2836102237536211,-0.14009140754644456,False,False
SFTPB,-0.6646563573848658,3.633600434031055e-12,-0.1392904846891847,False,0.18443121487359196,0.9983010589614777,0.03489947830016149,False,False
TFAP4,-0.6643585780663238,1.2052651063643873e-11,-0.13870275821896794,False,-0.16310411529933058,0.9076005106377076,-0.03593822795688428,True,False
ATP6V0A2,-0.6642757060821445,1.8376577127747633e-12,-0.13980209559436574,False,-0.7188629891866035,0.19426198004534098,-0.12055632601838706,True,False
BCL9L,0.6638786955209787,1.775388911362231e-11,0.13915681541376745,False,-0.182644384880633,0.8303994039816182,-0.03606888878946446,False,False
CEPT1,-0.6613773598744681,5.201063589053381e-14,-0.14140507776115374,False,0.05342618238854129,0.9868157508096559,0.013315799508401227,False,False
NFIC,0.6611360453273838,4.903945484536208e-12,0.13399706073621243,False,0.2920236598049079,0.7258938608987852,0.05673339418192924,True,False
CHRNG,-0.6609561951814252,3.8580905581313883e-11,-0.13406717408203228,False,0.23604053588419724,0.7423302865292829,0.057867161777659604,False,False
ARHGEF7,-0.6600246185951568,1.3295909041656366e-11,-0.14629085673734377,False,0.24874866877984728,0.5037423541462556,0.05128263238514208,False,False
RAB1A,0.6588965202721363,1.1797757392969913e-11,0.1398636341915891,False,0.09141266123243451,0.7944417885152435,0.018775937823396482,True,False
PTEN,-0.6585186580683794,1.1237674541621357e-12,-0.1395675960042828,False,-0.41465810757218435,0.5733566207917847,-0.08603730390286302,True,False
ZFAT,-0.6581317145172723,1.4863056743600287e-13,-0.14436500555904175,False,-1.339874368364579,0.0019173443953651842,-0.24148327275279868,True,True
TCEAL9,0.6567297493316957,8.025450711774041e-14,0.15069107902902878,False,-0.007917247720554325,0.9548094454962953,-0.0014604909628372909,False,False
KCNK7,-0.6559501921783238,1.2416670273780724e-12,-0.1487048657527099,False,0.0196424438228115,0.9588458431102604,0.004272621734438431,False,False
S100A11,0.6549533215779835,3.757030985037121e-12,0.13267821757168008,False,-0.5121994056258837,0.28899168156423743,-0.1132482596200175,False,False
RAD54L2,-0.6545433787180586,5.406224842588435e-12,-0.13423747043700196,False,0.06483379341114753,0.8951748636193857,0.013606257958577395,False,False
AQP10,-0.6542479525008744,1.0798497468130213e-10,-0.1387846013749865,False,0.10696154081886337,0.9901887421975374,0.024032124022578927,False,False
CYP4F2,-0.653713985541408,1.0117425104227561e-12,-0.1409359979176248,False,-0.024920348065028103,0.9955371987694167,-0.005197150638270642,True,False
RTL8B,0.6524788487965504,2.7588799787915115e-11,0.14000454865809875,False,-0.051333086327484435,0.9491591074745542,-0.010706833502498014,False,False
STAT5B,-0.652083115107933,1.7949246426503492e-12,-0.14167856098462916,False,-0.3242656473086631,0.776966242668541,-0.06932610802396866,True,False
RHEB,0.6500858644588683,2.7698588446850298e-14,0.1397894895293037,False,0.21933759225657037,0.6657897264705382,0.045655084272864244,True,False
FLI1,-0.6497941427073283,4.463596380905153e-11,-0.13403231022462858,False,-0.6968602637307839,0.027294559698278303,-0.151826788551209,True,True
SLC25A42,-0.6491255835993986,1.1703605790943273e-12,-0.13698392655006497,False,0.421734610019934,0.599507683656125,0.07602241328421044,False,False
DUSP3,0.6489856141695055,1.623556163975674e-13,0.13680486371655487,False,0.5044999872840487,0.2757652809942196,0.10229870955238596,True,False
CEP152,-0.6487133738368213,7.369439890390936e-12,-0.1475376213433348,False,0.08399371822868,0.886274752817827,0.017857069554416682,False,False
CCDC88B,-0.6477081400206607,4.97555251943969e-12,-0.1410684134208804,False,-0.21886365640236882,0.7366115279528247,-0.05009973932640843,True,False
DOCK7,0.6474619499467958,8.05664673486059e-14,0.14033290464408754,False,0.5554919829707798,0.1735645277952002,0.1303175561510459,True,False
KCNK12,-0.6472551396107662,1.3851326483047348e-12,-0.13843759020792046,False,-0.17490468155988095,0.6444321391614406,-0.048898606479185425,True,False
SERPINB6,0.6470848793661188,2.8271343461011423e-12,0.13508589994534503,False,-0.247576841284342,0.7988252588626975,-0.04802465229017372,False,False
TMEM54,0.646933257909508,8.44661394943694e-12,0.13907944402893424,False,0.22683528373926437,0.7812176289815335,0.0648919152117271,True,False
C19orf38,-0.6468940048393365,4.688758686794991e-12,-0.14018186388207088,False,-0.006604459143304494,0.9595713954727877,-0.0015971331698825253,True,False
EXT1,0.6459159562276383,1.067191597948757e-12,0.1374927279153324,False,0.19972431395280077,0.49897989058645836,0.045407689599723966,True,False
CAMSAP2,0.6457494392977803,1.509217636130469e-12,0.13698703953422076,False,-0.16308603904361793,0.8847428439185684,-0.03583569645336304,False,False
TWNK,-0.645563262079559,5.56532290619977e-12,-0.13785218977651326,False,-0.26330077732456064,0.4577054779913988,-0.06046423888382968,True,False
LIMD2,-0.6439413033849322,1.1918336839878166e-11,-0.13229861341226012,False,0.3298355992370279,0.37958314175429,0.07473527996519458,False,False
VRK1,-0.6437161083032868,1.9503220087504017e-12,-0.13241595372880255,False,0.10543820939476949,0.9712651634577414,0.02232113786214196,False,False
SLC26A11,0.6432485843089965,5.9246831208341984e-12,0.1389964616210806,False,-0.019020295940602335,1.0,-0.005031612224411397,False,False
ANKIB1,0.6430748709411399,5.741842137688431e-12,0.1406132361111414,False,0.10030340410984108,0.9625550458580404,0.025000574904528783,True,False
