cell_line,NetITH
SCC-3,5.4081246828397
SW48,5.663730555297838
SU-DHL-4,5.360193321010416
SF268,5.624640192154753
NCI-H23,5.58883856456393
NCI-H522,5.406370773689578
NCI-H835,6.003513147427457
NCI-H647,5.886541800069648
NB69,5.671197963628616
no-10,6.045272612117635
NTERA-S-cl-D1,5.767777628586529
SCC-4,5.364726391638219
NCI-H1975,5.953877676555782
SW982,6.068483209766215
SF126,6.205560548640006
CMK,5.510633062643042
NB-TU-1-10,5.967632240401265
NCI-H2141,5.866451814073523
NCI-H250,5.73614721912302
CCF-STTG1,5.7213673523771265
COR-L321,5.987037170148957
SK-MEL-2,5.926340968899739
IOSE-75-16SV40,6.296095770319226
Hs-578-T,6.011883247079363
VMRC-LCD,6.015512371651378
OVCA420,5.862876277260888
BL-41,5.655590957212751
UWB1.289,6.089694168319154
COR-L32,5.581067450418253
NCI-H1341,5.510505496338511
Farage,5.339525065686107
NCI-H660,5.6321366958090024
KARPAS-299,5.521006912503765
NCI-H2172,5.706452525785324
LK-2,5.7335090561877795
IOSE-364-,5.816600347235411
NCI-H2286,5.761108167803888
SK-GT-2,5.856579956472717
SW756,5.573723845701257
NUGC-4,5.510864846535133
HCC-366,5.93456336996819
RWPE-1,5.75305031293354
ROS-50,5.406943698418645
CHSA0011,5.792082292532975
KYAE-1,5.866861026474838
Ishikawa,5.256706352040726
MOLP-8,5.547816398076925
NCI-H847,5.50892282784178
COLO-783,5.909754673611797
LP-1,5.556497450580993
NCI-H524,5.546678661502526
NEC8,5.529948234574638
CHSA8926,6.0528340463963834
RPMI-8402,5.343305748169673
NCI-H2110,5.641860880997367
LB2518-MEL,5.884651196570993
IOSE-523-,5.836817899072781
TYK-nu,5.735505600171667
SUP-HD1,5.829993063597775
SK-CO-1,5.7513137383313016
EJM,5.517950344452388
CL-40,5.461167050151167
JHOS-4,5.6789677601071125
Caov-4,5.5101292910869
DIFI,5.587374882911141
NCI-H1836,5.779444046532564
huH-1,5.581446317537665
HCC1143,5.728071903783363
MOG-G-CCM,5.761804457665065
OV-17R,5.86873684619869
BICR10,6.08732790111817
NCI-H1435,5.5797808603768075
COR-L311,5.962355347379985
Mo,5.5896366812612
NCI-H1417,6.1821723833722615
COR-L279,5.860062218724466
MLMA,5.4511636427969465
Hep3B2-1-7,5.550690751005031
LB373-MEL-D,5.826963855764188
MDA-MB-468,5.895063116647753
SU-DHL-6,5.446018641736709
RERF-LC-KJ,5.640856031215309
COR-L95,5.618815918253638
MHH-CALL-2,5.431139721331858
COR-L303,5.767176965006227
MDA-MB-415,6.147546752210258
