tf_a,tf_b,n,beta_a,beta_b,beta_interaction,p_interaction
IRF2,ANXA1,572,0.12447686463826696,-0.056604316419310845,-0.05769865923639963,0.14485514485514486
MCL1,BLNK,572,0.08042672136288383,0.16253666305931472,0.0659874722572668,0.14585414585414586
CDC42,ANXA1,572,-0.14338110568958773,-0.07358520709707346,-0.060739539282903876,0.15084915084915085
NNAT,KLF6,572,-0.13994576764845948,0.07874490480080874,-0.06308580827320961,0.15084915084915085
NNAT,ANXA1,572,-0.159123918723543,-0.07039306346341237,0.06410271240401515,0.15084915084915085
FCRL6,SLC7A11,572,0.1284372515164756,0.11021622245317778,-0.05852625598495646,0.15584415584415584
TPI1,ANXA1,572,0.13079241900370617,-0.06279546668526231,0.06073854885075955,0.15584415584415584
TEAD2,ANXA1,572,0.08601896302262206,-0.06846529189431746,0.06002303304918833,0.15984015984015984
SERPINA3,TPI1,572,0.08645114722921862,0.13126643903777252,-0.05835271540136633,0.16283716283716285
CCL19,TEAD2,572,-0.06374209209385061,0.08568745628070226,-0.05753327526952917,0.1798201798201798
SELP,SERPINA3,572,-0.07942915431945409,0.08257084940775258,-0.05531550764187443,0.18981018981018982
CCL19,ANXA1,572,-0.05922777043503312,-0.0626741431205938,0.05566496544470007,0.18981018981018982
NNAT,GZMB,572,-0.14526125621068203,-0.05983723753298888,0.05509566837797117,0.19480519480519481
CDC42,FCRL6,572,-0.1324258890725012,0.13057661899017625,0.054063486919037895,0.1968031968031968
CCL22,TPI1,572,0.07183689168848939,0.13601389456312626,0.05354119394046311,0.2017982017982018
NNAT,IRF2,572,-0.15133847107728984,0.11157423030320386,-0.05502418945168008,0.22277722277722278
CCL19,JUN,572,-0.05227782904015641,-0.1340713652383141,-0.05266824367418742,0.22577422577422576
MCL1,CD4,572,0.09134530036093297,0.09784328807474373,-0.053176177544163206,0.22977022977022976
SERPINA3,NPM1,317,0.15808801522154353,0.10981451569715378,0.06746324774640575,0.23276723276723277
FCRL6,ANXA1,572,0.12807088122424087,-0.07402170554210528,0.04813509836941651,0.23276723276723277
CD4,NPM1,317,0.1268535438043196,0.11001405668858044,0.06216659928132506,0.23376623376623376
NNAT,CD4,572,-0.15014011622098003,0.09289719479151383,-0.05250062514431076,0.24275724275724275
