drug,pathway,eri,eri_weighted,slope,r_squared,ic50_range,netith_range
Niraparib,Genome integrity,0.40426464716217403,0.0350518231308846,1.9751335540714765,0.08670514074613919,4.88574395,0.7231252053480635
EPZ5676,Chromatin histone methylation,0.4108139312356301,0.03477077824791045,1.2785679819060267,0.08463875152268635,3.1122799999999997,0.7231252053480635
Motesanib,RTK signaling,0.4084606518302187,0.034766795604831334,1.4784118719781927,0.08511663350937057,3.61947195,0.7231252053480635
Venetoclax,Apoptosis regulation,0.39911812934318897,0.03415047660437344,2.500692060906096,0.08556483430249928,6.26554365,0.7231252053480635
Temozolomide,DNA replication,0.38622243919886595,0.033394586120031544,1.711290238033464,0.08646464506127949,4.430841049999999,0.7231252053480635
BI-2536,Cell cycle,0.3967019948687456,0.03165386863768557,3.103569593487499,0.07979256229391712,7.823428249999999,0.7231252053480635
Leflunomide,DNA replication,0.3813108986029876,0.03150448316641835,1.1602719440762805,0.08262151247667357,3.0428501999999997,0.7231252053480635
GSK2830371,Other,0.3818270383722225,0.03126986689129051,1.4854775886751705,0.08189537080610622,3.890446299999999,0.7231252053480635
EPZ004777,Chromatin histone methylation,0.3832998327829922,0.030976353620566905,1.2133966420079405,0.08081494164935986,3.1656591999999995,0.7231252053480635
Veliparib,Genome integrity,0.3749588682250145,0.029661271147580364,1.143363464226349,0.0791053997148842,3.0493037,0.7231252053480635
Palbociclib,Cell cycle,0.38349635829605483,0.02960700531588644,1.9530969640515037,0.07720283302672243,5.092869650000001,0.7231252053480635
N30652-18-1,Unclassified,0.38113664506144046,0.029568099410635283,1.3680355801919577,0.07757873663884723,3.589357249999999,0.7231252053480635
Sorafenib,"Other, kinases",0.4072970564769043,0.02917874710281039,1.457152364180412,0.07163996557010464,3.5776157499999997,0.7231252053480635
Picolinici-acid,Other,0.3700433442924485,0.028973882307366593,0.9996023044313149,0.07829861759239826,2.7013113999999967,0.7231252053480635
N29087-69-1,Unclassified,0.36847185606802907,0.02851642366561986,1.1757533450448412,0.07739104953610085,3.1908904999999996,0.7231252053480635
LGK974,WNT signaling,0.3789971683213373,0.02821037594927123,1.340044543852525,0.07443426576040464,3.5357640000000004,0.7231252053480635
VE821,Genome integrity,0.37906456417503664,0.02796437469835882,1.9003540690225653,0.0737720624432887,5.013272799999999,0.7231252053480635
MIRA-1,p53 pathway,0.3682389776494136,0.027396954248143722,1.5032319301576245,0.07439993023831205,4.082218399999999,0.7231252053480635
THR-101,PI3K/MTOR signaling,0.37018524109079076,0.027362359064031533,1.2329470710337673,0.07391531597371465,3.3306218999999992,0.7231252053480635
LMB_AB2,Unclassified,0.35734817918192663,0.027271366348154087,1.0543216759251628,0.07631595160380035,2.9504045000000003,0.7231252053480635
Vismodegib,Other,0.3701671075347258,0.027207443148331952,1.190836635524992,0.07350043424854973,3.2170244499999994,0.7231252053480635
MK-1775,Cell cycle,0.3728177133367011,0.0265740436062625,1.6577095055096454,0.07127891904176455,4.446434399999997,0.7231252053480635
Serdemetan,p53 pathway,0.36774720161462604,0.026563415840089998,1.5272304086110378,0.07223281570454108,4.1529355,0.7231252053480635
GSK626616AC,"Other, kinases",0.365120546236313,0.026427058320743567,1.030763598867445,0.0723789953568909,2.8230775,0.7231252053480635
Vorinostat,Chromatin histone acetylation,0.3720518527159098,0.026153999594944546,1.2817919268212943,0.07029665194253215,3.445197,0.7231252053480635
VE-822,Genome integrity,0.3737493852499274,0.02611862434609204,2.099711450979809,0.06988272189030206,5.6179663,0.7231252053480635
Ruxolitinib,"Other, kinases",0.38012442639781796,0.02576934173962974,1.325926893589522,0.06779185958615803,3.4881391499999994,0.7231252053480635
Lestaurtinib,"Other, kinases",0.367362982798211,0.025642368297570755,1.9191435483451627,0.06980117621610195,5.22410705,0.7231252053480635
I-BRD9,Chromatin other,0.3588738270322892,0.025581525292958082,1.5091443818157473,0.07128278343535044,4.205222749999999,0.7231252053480635
JAK1_8709,"Other, kinases",0.3700185639268157,0.02527203111330872,1.449150879273489,0.068299360024291,3.9164275,0.7231252053480635
GSK3337463A,"Other, kinases",0.35656074116172926,0.0250336011384345,1.2017082867599587,0.0702085177882209,3.3702764999999997,0.7231252053480635
IWP-2,WNT signaling,0.3581396764708078,0.024984241659884866,1.0429702472120064,0.06976116666571387,2.9121884999999983,0.7231252053480635
Crizotinib,RTK signaling,0.374119179046677,0.024911689896892596,1.7283939996339777,0.06658757768145451,4.619902149999999,0.7231252053480635
Irinotecan,DNA replication,0.3669034911549575,0.02480494246265832,2.2457134263109237,0.06760617726633252,6.120719699999999,0.7231252053480635
PFI3,Chromatin other,0.3564361866463243,0.024605604932944204,0.9787258278637025,0.06903228643661606,2.7458655,0.7231252053480635
I-BET-762,Chromatin other,0.35093448181001563,0.02433058554348922,1.8752810804502695,0.06933084893225454,5.3436786,0.7231252053480635
SB505124,RTK signaling,0.38175677419620074,0.0232662963627202,1.7181582450430986,0.06094533990053751,4.5006620999999996,0.7231252053480635
Rucaparib,Genome integrity,0.3566555338094437,0.023258911477549427,1.1993528476893527,0.06521393690186328,3.3627765,0.7231252053480635
Axitinib,RTK signaling,0.3573209958377187,0.02313204526803727,1.8990792663694278,0.06473743647166746,5.3147709999999995,0.7231252053480635
