gene,mean_high,mean_low,delta,cohens_d,p_value,n_high,n_low,fdr,neg_log10_p
RAB37,-0.12693084432766846,-0.12054662190777855,-0.0063842224198899095,-0.053963534123946964,0.5255911388743806,302,303,0.8885572603190615,0.2793519653097673
NRIP1,0.15252344051210226,0.1601828118797326,-0.007659371367630341,-0.05988834186866546,0.5255911388743806,302,303,0.8885572603190615,0.2793519653097673
EVI5,-0.10443282121743881,-0.10079180702866374,-0.003641014188775077,-0.026470242909629873,0.5258946281036885,302,303,0.8885814095679847,0.2791012653851372
KCTD3,0.1544429773258267,0.14959522632332545,0.0048477510025012605,0.03796326739462019,0.5258946281036885,302,303,0.8885814095679847,0.2791012653851372
RIMBP2,0.07003324689854658,0.07473858386020754,-0.004705336961660964,-0.03792799724199935,0.5258946281036885,302,303,0.8885814095679847,0.2791012653851372
GSDMA,-0.37592273888959843,-0.37316129773686857,-0.00276144115272986,-0.01542505798585073,0.5258946281036885,302,303,0.8885814095679847,0.2791012653851372
MET,-0.04422926889234652,-0.036761603558789394,-0.007467665333557125,-0.03530065505747771,0.5258946281036885,302,303,0.8885814095679847,0.2791012653851372
TMX4,0.11086195821550493,0.12506112934312427,-0.014199171127619342,-0.09306094692769898,0.5258946281036885,302,303,0.8885814095679847,0.2791012653851372
RNASET2,-0.13075815136517688,-0.12137097616105413,-0.009387175204122744,-0.06543752244557323,0.5258946281036885,302,303,0.8885814095679847,0.2791012653851372
DRP2,-0.027720015473596614,-0.02210361474864882,-0.005616400724947793,-0.05289898077845343,0.5258946281036885,302,303,0.8885814095679847,0.2791012653851372
RHOXF2,-0.06406611286854964,-0.05442702204784818,-0.009639090820701461,-0.06809067989801408,0.5261455602438222,237,249,0.8886388825556447,0.27889408994247644
SNAI2,-0.08650053312393903,-0.08489427205331192,-0.001606261070627113,-0.006940791235230419,0.5261982068945343,302,303,0.8885649852615866,0.27885063617645806
DIABLO,-0.12606057432311052,-0.12406236152009258,-0.001998212803017943,-0.0171718092955719,0.5261982068945343,302,303,0.8885649852615866,0.27885063617645806
FAM50B,0.0990089634185195,0.10113650357509367,-0.0021275401565741675,-0.014143015988435386,0.5261982068945343,302,303,0.8885649852615866,0.27885063617645806
ACP5,0.02339757739538722,0.029270799674167722,-0.005873222278780503,-0.05767655781021057,0.5265018752076339,302,303,0.8888335228436567,0.2786000776772078
WIPF2,-0.13173311773852012,-0.12837705847658018,-0.0033560592619399365,-0.020242363077193425,0.5265018752076339,302,303,0.8888335228436567,0.2786000776772078
KLHL7,-0.04332887709568156,-0.055803080047766664,0.012474202952085102,0.08044553467769743,0.5265018752076339,302,303,0.8888335228436567,0.2786000776772078
STK3,-0.20860920811497266,-0.200888118803827,-0.007721089311145651,-0.04828794154812249,0.5268056330036528,302,303,0.8889799848434563,0.27834958988086195
UGT2B7,0.057321770664876856,0.04815253151574438,0.009169239149132473,0.06218094814373573,0.5268056330036528,302,303,0.8889799848434563,0.27834958988086195
PRLR,-0.013170502818402556,-0.022672129159910022,0.009501626341507466,0.07805445818827399,0.5268056330036528,302,303,0.8889799848434563,0.27834958988086195
ZFAND1,0.07484283127852445,0.06906536445047169,0.00577746682805276,0.04131057326617559,0.5268056330036528,302,303,0.8889799848434563,0.27834958988086195
ZCCHC10,-0.14232306579920131,-0.13593792143709874,-0.006385144362102579,-0.054190125499254185,0.5268056330036528,302,303,0.8889799848434563,0.27834958988086195
FXYD7,0.05741032443655067,0.05922419902230964,-0.0018138745857589691,-0.016257175352652524,0.5268056330036528,302,303,0.8889799848434563,0.27834958988086195
S100P,-0.05295005514441699,-0.04934754634286303,-0.0036025088015539594,-0.030033761878154732,0.5271094802432066,302,303,0.8889231366494547,0.278099172780894
TRIM17,-0.1594464216570464,-0.15565807672023121,-0.00378834493681518,-0.029632509499389177,0.5271094802432066,302,303,0.8889231366494547,0.278099172780894
MRPL58,-0.40597267885856747,-0.4094047051532449,0.003432026294677426,0.014078952754961504,0.5271094802432066,302,303,0.8889231366494547,0.278099172780894
COMMD1,-0.07325608950702685,-0.0832213160881269,0.00996522658110005,0.07343184837436718,0.5271094802432066,302,303,0.8889231366494547,0.278099172780894
KATNAL2,0.0674396647496128,0.061696141757010145,0.005743522992602654,0.04901849546091826,0.5271094802432066,302,303,0.8889231366494547,0.278099172780894
TMEM45B,0.04217519288585037,0.03715749717712602,0.005017695708724353,0.038527596708880556,0.5271094802432066,302,303,0.8889231366494547,0.278099172780894
MBIP,-0.08599498269675501,-0.07457930325932134,-0.01141567943743367,-0.07516170455136253,0.5271094802432066,302,303,0.8889231366494547,0.278099172780894
PIANP,0.06260342380020872,0.05593842177740563,0.006665002022803096,0.0701448251447577,0.5271094802432066,302,303,0.8889231366494547,0.278099172780894
DCAF16,0.0476441851003748,0.055368605815941024,-0.007724420715566227,-0.07683852014570293,0.5274134168868603,302,303,0.8889477796854188,0.27784882637077557
ZDHHC18,-0.15695140504680757,-0.15455567495902606,-0.002395730087781517,-0.01731888790480278,0.5274134168868603,302,303,0.8889477796854188,0.27784882637077557
KRTAP20-1,0.012690509748452107,0.007014619490329909,0.0056758902581221975,0.05871097034050766,0.5274134168868603,302,303,0.8889477796854188,0.27784882637077557
SPRN,-0.0008019487857848931,-0.006980340024183103,0.00617839123839821,0.04275276896124481,0.5274134168868603,302,303,0.8889477796854188,0.27784882637077557
GSTT2B,-0.10763452722579474,-0.09981057483575849,-0.007823952390036248,-0.06100700722409232,0.5276726423196008,240,254,0.8891814589727458,0.27763542164176586
CTXN3,0.04512954339405045,0.04352527674992737,0.0016042666441230813,0.011169511299302397,0.5277174428951286,302,303,0.8890131645592337,0.27759855064397637
R3HDM1,0.0053672585348425806,0.011560541203880859,-0.006193282669038278,-0.0413536602268844,0.5277174428951286,302,303,0.8890131645592337,0.27759855064397637
LTK,-0.005641975906346666,-0.017379739475697892,0.011737763569351228,0.08560454824965663,0.5277174428951286,302,303,0.8890131645592337,0.27759855064397637
HAND2,0.07058646347320931,0.043210837306735056,0.02737562616647425,0.15760480968322874,0.5277174428951286,302,303,0.8890131645592337,0.27759855064397637
ZNF157,0.13533240452294393,0.1305826739850963,0.004749730537847635,0.05425124377622867,0.5277174428951286,302,303,0.8890131645592337,0.27759855064397637
ALOXE3,-0.10665862303853027,-0.10263240177115827,-0.004026221267371996,-0.03484748932824844,0.5280215582284762,302,303,0.8892004591159183,0.2773483455939638
CCDC183,0.06298178024797098,0.06035884811726129,0.0026229321307096876,0.025322290119421068,0.5280215582284762,302,303,0.8892004591159183,0.2773483455939638
SHC4,-0.06149063323034203,-0.054359362698750774,-0.007131270531591259,-0.06483367720392483,0.5280215582284762,302,303,0.8892004591159183,0.2773483455939638
OR2B11,-0.06933400964231762,-0.07365932781395337,0.004325318171635756,0.036735565474975786,0.5280849089849066,240,254,0.8891446978844417,0.27729624311219847
RPUSD3,-0.32794397475704307,-0.3426914133168223,0.014747438559779225,0.06554376346851964,0.5283257628473172,302,303,0.8894689897799355,0.27709821121420364
