drug,instrument_gene,n,F_stat_stage1,beta_ols,beta_iv,delta_iv_ols,rho_crispr_netith
N25720-51-A1,FERMT2,478,38.277879746821256,0.17893398639433397,0.6928282299621018,0.5138942435677678,-0.32810261723142214
N30652-18-1,FERMT2,478,38.277879746821256,0.2138542027993366,0.7873717094939504,0.5735175066946139,-0.32810261723142214
N29087-69-1,FERMT2,478,38.277879746821256,0.22360509111491594,0.7074936884711311,0.4838885973562152,-0.32810261723142214
BMS-345541,ITGAV,537,38.18530454285346,0.2906204401272033,0.9035845592054679,0.6129641190782646,-0.3036294870892779
Afatinib,ITGAV,570,38.08789459552588,0.10945486658595209,1.3028835541552635,1.1934286875693114,-0.28828207502866077
Entinostat,ITGAV,539,37.966465461198986,0.2029798899162391,1.1016360281622306,0.8986561382459914,-0.30136598516842805
OF-1,ITGAV,538,37.82601466481818,0.13334625540436176,0.5482964234161936,0.4149501680118318,-0.30062104798722045
I-BET-762,ITGAV,538,37.82601466481818,0.2378633061010216,0.7893951607441514,0.5515318546431298,-0.30062104798722045
KRAS (G12C) Inhibitor-12,ITGAV,538,37.82601466481818,0.2011948506999906,1.0470683418030688,0.8458734911030783,-0.30062104798722045
PFI3,ITGAV,538,37.82601466481818,0.20355317538579845,1.0787801322547967,0.8752269568689983,-0.30062104798722045
CZC24832,ITGAV,538,37.82601466481818,0.21465168187537986,0.8753113038679982,0.6606596219926183,-0.30062104798722045
PCI-34051,ITGAV,538,37.82601466481818,0.2159769033357765,0.737831110171252,0.5218542068354756,-0.30062104798722045
Entospletinib,ITGAV,538,37.82601466481818,0.1158141026944653,0.3817638755592711,0.2659497728648058,-0.30062104798722045
MN-64,ITGAV,538,37.82601466481818,0.1751033031060035,0.4973168643486799,0.3222135612426764,-0.30062104798722045
AGI-6780,ITGAV,538,37.82601466481818,0.18417938725194427,0.9803460803578933,0.796166693105949,-0.30062104798722045
Mycophenolic acid,FERMT2,474,37.64634545734225,0.16693267005799012,0.5096212543411351,0.342688584283145,-0.3285308596242393
AZD5991,FERMT2,463,37.56312668669798,0.18152813071598925,0.7218901113460702,0.5403619806300809,-0.34719560993114273
GNE-317,PTK2,557,37.54092550511636,0.05628083964861328,0.29307533616089826,0.23679449651228499,-0.26487558433012665
AZD1208,FERMT2,464,37.518280986933895,0.2176463043801584,0.9045024276738359,0.6868561232936775,-0.3468397811823552
IRAK4_4710,FERMT2,464,37.518280986933895,0.23658340464320624,0.8824608007635398,0.6458773961203336,-0.3468397811823552
AZD5438,FERMT2,464,37.518280986933895,0.19497978634488297,0.8329083103507499,0.6379285240058669,-0.3468397811823552
AZD1332,FERMT2,464,37.518280986933895,0.08779609415919891,0.09158193077258586,0.003785836613386953,-0.3468397811823552
ERK_2440,FERMT2,464,37.518280986933895,0.11910541439879055,0.3609560295804611,0.24185061518167053,-0.3468397811823552
