gene,n_low,n_high,mean_netith_low,mean_netith_high,delta_netith,cohens_d,mwu_p,is_tf,fdr
TMEM72,254,254,5.72854000171942,5.648618779189386,-0.07992122253003409,-0.3674059215195188,5.38546809935287e-06,False,1.7980480740871256e-05
ANO3,254,254,5.743088335419103,5.661623562400474,-0.08146477301862909,-0.36735057684112615,1.8322424732666228e-05,False,5.450778758675057e-05
CENPM,254,254,5.726115019063176,5.646328041215183,-0.07978697784799316,-0.3672913728262488,7.287789717177089e-06,False,2.37239346943912e-05
OR5T3,254,254,5.742664296313989,5.664312566574858,-0.07835172973913096,-0.3672861888367085,1.572621448726228e-05,False,4.741570822005231e-05
CDK15,254,254,5.755570192384603,5.67673559216786,-0.0788346002167426,-0.3672835699735964,3.83896908314793e-05,False,0.00010700714179100233
ALKBH8,254,254,5.746897815489587,5.664493617379282,-0.08240419811030453,-0.36726857479340685,1.492798679132096e-05,False,4.5199137616178814e-05
SEC22C,254,254,5.669510807059424,5.7493117411835675,0.07980093412414391,0.36723987586803947,3.642596326618261e-05,False,0.00010209597427759608
UBE2D2,254,254,5.744088071884042,5.661818220989393,-0.08226985089464911,-0.36723440168795446,1.2936145480004086e-05,False,3.969931104398756e-05
WNT5A,254,254,5.682191702181326,5.760485959609648,0.07829425742832186,0.36721272469825644,4.251157082854235e-05,False,0.0001174685188468686
TSPAN33,254,254,5.738234572276715,5.653391478564433,-0.0848430937122826,-0.3671211081836702,1.6977087513657993e-05,False,5.073364877040152e-05
BRI3,254,254,5.659135535346509,5.740746136892707,0.08161060154619726,0.36711604552257093,1.5297837591504157e-06,False,5.789617258778064e-06
HSPE1,254,254,5.659770656044301,5.7410545000008675,0.08128384395656685,0.36688329208682513,6.391328320629817e-05,False,0.00016960388528718524
TMEM234,254,254,5.662754613051332,5.7408639499530585,0.0781093369017265,0.366860016293149,4.67643747944229e-06,False,1.585950336827422e-05
WEE2,254,254,5.747245689861735,5.663173611389239,-0.08407207847249598,-0.36678922080736953,4.8553029662341986e-06,False,1.636927995338974e-05
TRIM10,254,254,5.74633674276597,5.6643430955291265,-0.08199364723684344,-0.3667837448224012,2.8710723978460933e-05,False,8.230886052558442e-05
LINC03042,254,254,5.747851639857762,5.666531878545945,-0.08131976131181684,-0.36676558349463306,1.053379763166998e-05,False,3.305817424965432e-05
PGAP2,254,254,5.7566913682456,5.676324035738738,-0.0803673325068619,-0.3667541287415606,6.074097169543557e-06,False,2.007311151072406e-05
BRPF3,254,254,5.663295850492625,5.747358552929424,0.08406270243679881,0.3667470352781018,1.0711494919421785e-05,False,3.356684716869632e-05
FCN2,254,254,5.745981599539715,5.6629831182483015,-0.08299848129141374,-0.36673898525906007,1.23419049487016e-05,False,3.807265190506029e-05
FAM86B3P,254,254,5.7462313340547055,5.666191667775188,-0.08003966627951797,-0.3666919424541113,4.8273649974608856e-06,False,1.629105460492931e-05
TRPA1,254,254,5.74216714333573,5.6613925208648,-0.08077462247092981,-0.3666804113034286,1.053379763166998e-05,False,3.305817424965432e-05
DCAF4L2,254,254,5.7570622648421095,5.67457956732912,-0.08248269751298931,-0.3666744832834442,1.0186811922033915e-05,False,3.205109783627316e-05
ARFGEF3,254,254,5.663933977787221,5.751160396982541,0.0872264191953196,0.3666582672372899,4.0559546647010355e-05,False,0.00011263557666697209
PITRM1,254,254,5.674285234206594,5.756541967506072,0.08225673329947814,0.36663550884270724,6.294126242849375e-05,False,0.00016723087040971903
MUC5B,254,254,5.753789630485709,5.668770607366524,-0.08501902311918563,-0.3665977736352348,2.622252539699998e-05,False,7.580733770652044e-05
ZNF335,254,254,5.732428161036312,5.653718282562569,-0.07870987847374256,-0.3665921238623141,1.1938223002405394e-05,False,3.69998871827703e-05
SEMA4C,254,254,5.656869307151365,5.737968039888958,0.08109873273759316,0.36657648532744,1.758956278437882e-05,False,5.2481885421353004e-05
MAGEB18,254,254,5.747906372360295,5.664093674155723,-0.08381269820457238,-0.36651761820647905,4.022093991126372e-06,False,1.386453682191678e-05
EMX1,254,254,5.732884617274126,5.654204457173081,-0.07868016010104562,-0.36651439882060033,3.0926760804944016e-05,False,8.811847152655988e-05
PCAT4,254,254,5.749311572612717,5.669081496807103,-0.08023007580561359,-0.36649899413566633,3.4557858093211065e-05,False,9.741555507396321e-05
LINC01554,254,254,5.740318409258606,5.65927317729706,-0.08104523196154556,-0.3664164877163904,8.55275723100978e-05,False,0.00022082854567787336
IMPA1,254,254,5.742616802696046,5.661743795059946,-0.08087300763609928,-0.36626735904324137,4.409108714099529e-05,False,0.00012136514480913106
ENAM,254,254,5.7412828054727925,5.658015114498191,-0.0832676909746013,-0.366237353653687,6.376132952595843e-06,False,2.0982564170193435e-05
CAMKK2,254,254,5.727093308732229,5.6462325374817945,-0.08086077125043456,-0.36614663331935376,1.7363216934734478e-06,False,6.49412251564183e-06
PPP1CA,254,254,5.731639393690596,5.649385733207162,-0.08225366048343385,-0.3660682265050532,6.196768553949091e-06,False,2.043140040185515e-05
GUF1,254,254,5.739518911007484,5.6607792247831235,-0.07873968622436056,-0.36603593796053546,1.3043805934827837e-05,False,3.9994029569514016e-05
MAST4,254,254,5.73651292296982,5.654928372308449,-0.08158455066137105,-0.36601148776111003,3.175688152758128e-05,False,9.030420220795595e-05
MTUS2,254,254,5.739692165306143,5.6591037803221145,-0.08058838498402832,-0.3659651913947596,1.348305730030083e-05,False,4.120129128130656e-05
BYSL,254,254,5.7377272881322465,5.658269461143426,-0.0794578269888202,-0.3659325473443771,9.766529441664201e-05,False,0.00024913847386336336
CNTF,254,254,5.728542675973926,5.648768312459942,-0.07977436351398381,-0.3659162038170143,1.6977087513657993e-05,False,5.073364877040152e-05
SAR1B,254,254,5.653289968812369,5.729799330336865,0.07650936152449628,0.36589145835337433,0.00018068860317750675,False,0.0004351756739367535
KLHDC7B,254,254,5.748376327014646,5.667284810308146,-0.08109151670649961,-0.36589071950659713,2.1847845056194603e-05,False,6.417431400471368e-05
ELAC2,254,254,5.745308578641667,5.664572923904742,-0.0807356547369249,-0.36586731373498577,1.616251545007873e-05,False,4.857791861904669e-05
LDLRAD1,254,254,5.752005477965764,5.672830856226474,-0.07917462173929035,-0.3658156589807424,1.679275920600349e-05,False,5.02351741047767e-05
TTLL4,254,254,5.759203132716127,5.6749439513417395,-0.08425918137438781,-0.3657965659293299,8.340348508075294e-05,False,0.00021586267632772065
EFHC1,254,254,5.676454550183716,5.759113776299086,0.08265922611536958,0.3657798412158641,6.321808553453844e-06,False,2.0827701384401373e-05
OR2V2,254,254,5.733154386275701,5.650822737773368,-0.08233164850233265,-0.3657775170764104,2.318090147951373e-05,False,6.775440719611141e-05
CABP1,254,254,5.7246198351843764,5.644992071974081,-0.0796277632102953,-0.365756560782708,4.164814877916232e-06,False,1.4299197747512397e-05
